0000000000|00000133|00-05|1.9333334
0000000000|00000158|00-05|7.45
0000000000|00000041|00-05|44.100002
0000000000|00000194|00-05|57.1
0000000000|00000128|00-05|25.166666
0000000000|00000183|00-05|25.783333
0000000000|00000186|00-05|16.183332
0000000000|00000002|00-05|25.583332
0000000000|00000037|00-05|24.133331
0000000000|00000140|00-05|26.1
0000000000|00000169|00-05|44.26667
0000000000|00000133|05-12|32.649998
0000000000|00000041|05-12|27.25
0000000000|00000158|05-12|16.183332
0000000000|00000194|05-12|66.58333
0000000000|00000128|05-12|17.383333
0000000000|00000183|05-12|16.966667
0000000000|00000186|05-12|31.016668
0000000000|00000002|05-12|53.649994
0000000000|00000037|05-12|43.949997
0000000000|00000140|05-12|17.8
0000000000|00000169|05-12|91.049995
0000000000|00000133|12-24|61.01667
0000000000|00000158|12-24|51.1
0000000000|00000041|12-24|50.2
0000000000|00000194|12-24|62.733334
0000000000|00000128|12-24|57.083332
0000000000|00000183|12-24|47.683334
0000000000|00000186|12-24|75.76667
0000000000|00000037|12-24|73.63333
0000000000|00000002|12-24|82.84999
0000000000|00000140|12-24|48.450005
0000000000|00000169|12-24|109.26668
0000000001|00000092|00-05|18.233334
0000000001|00000148|00-05|19.383333
0000000001|00000077|00-05|21.6
0000000001|00000097|00-05|1.0833334
0000000001|00000156|00-05|7.883333
0000000001|00000027|00-05|30.916666
0000000001|00000013|00-05|4.0833335
0000000001|00000018|00-05|20.016666
0000000001|00000041|00-05|9.85
0000000001|00000113|00-05|14.1
0000000001|00000030|00-05|49.483334
0000000001|00000104|00-05|9.666666
0000000001|00000050|00-05|21.65
0000000001|00000162|00-05|6.75
0000000001|00000074|00-05|27.333332
0000000001|00000119|00-05|0.75
0000000001|00000164|00-05|22.0
0000000001|00000062|00-05|4.9
0000000001|00000064|00-05|8.2
0000000001|00000092|05-12|4.3
0000000001|00000148|05-12|15.166667
0000000001|00000097|05-12|0.16666667
0000000001|00000156|05-12|26.966667
0000000001|00000027|05-12|5.866667
0000000001|00000013|05-12|7.6500006
0000000001|00000018|05-12|20.9
0000000001|00000188|05-12|21.166668
0000000001|00000041|05-12|4.9833336
0000000001|00000113|05-12|40.033333
0000000001|00000030|05-12|28.75
0000000001|00000104|05-12|21.566666
0000000001|00000050|05-12|4.1833334
0000000001|00000162|05-12|7.266667
0000000001|00000074|05-12|26.55
0000000001|00000061|05-12|44.816666
0000000001|00000119|05-12|69.6
0000000001|00000164|05-12|12.300001
0000000001|00000062|05-12|41.38334
0000000001|00000064|05-12|15.6
0000000001|00000092|12-24|39.48333
0000000001|00000148|12-24|66.05
0000000001|00000077|12-24|62.583332
0000000001|00000097|12-24|11.716666
0000000001|00000156|12-24|65.25
0000000001|00000027|12-24|42.566666
0000000001|00000013|12-24|26.733334
0000000001|00000018|12-24|13.0
0000000001|00000188|12-24|55.516666
0000000001|00000180|12-24|2.4333334
0000000001|00000041|12-24|64.683334
0000000001|00000113|12-24|8.716667
0000000001|00000030|12-24|7.616667
0000000001|00000104|12-24|29.683332
0000000001|00000050|12-24|2.2833333
0000000001|00000162|12-24|47.75
0000000001|00000061|12-24|23.199999
0000000001|00000074|12-24|11.133333
0000000001|00000164|12-24|6.716666
0000000001|00000119|12-24|11.916666
0000000001|00000062|12-24|25.966667
0000000001|00000064|12-24|86.38333
0000000002|00000112|00-05|44.983334
0000000002|00000092|00-05|34.05
0000000002|00000060|00-05|147.18333
0000000002|00000187|00-05|48.86667
0000000002|00000112|05-12|47.899998
0000000002|00000197|05-12|47.283333
0000000002|00000092|05-12|14.783334
0000000002|00000060|05-12|235.31665
0000000002|00000187|05-12|70.26666
0000000002|00000197|12-24|94.049995
0000000002|00000112|12-24|72.63333
0000000002|00000092|12-24|86.899994
0000000002|00000060|12-24|357.58328
0000000002|00000187|12-24|99.399994
0000000003|00000009|00-05|28.016666
0000000003|00000104|00-05|7.5333333
0000000003|00000136|00-05|15.1
0000000003|00000161|00-05|88.183334
0000000003|00000090|00-05|85.533325
0000000003|00000009|05-12|104.13333
0000000003|00000136|05-12|0.48333332
0000000003|00000104|05-12|13.833333
0000000003|00000161|05-12|148.33334
0000000003|00000090|05-12|133.41667
0000000003|00000009|12-24|248.78333
0000000003|00000104|12-24|42.45
0000000003|00000136|12-24|59.383335
0000000003|00000161|12-24|156.36665
0000000003|00000090|12-24|150.85
0000000004|00000168|00-05|28.983334
0000000004|00000002|00-05|54.68333
0000000004|00000082|00-05|208.6
0000000004|00000002|05-12|63.416664
0000000004|00000168|05-12|51.066666
0000000004|00000082|05-12|294.11664
0000000004|00000002|12-24|93.566666
0000000004|00000168|12-24|98.833336
0000000004|00000082|12-24|527.56665
0000000005|00000031|00-05|86.4
0000000005|00000019|00-05|67.466675
0000000005|00000087|00-05|77.46667
0000000005|00000054|00-05|68.416664
0000000005|00000031|05-12|114.950005
0000000005|00000019|05-12|112.23333
0000000005|00000087|05-12|111.61667
0000000005|00000054|05-12|79.9
0000000005|00000031|12-24|196.78334
0000000005|00000019|12-24|176.48329
0000000005|00000087|12-24|209.01666
0000000005|00000054|12-24|137.03336
0000000006|00000087|00-05|161.48334
0000000006|00000036|00-05|126.89999
0000000006|00000087|05-12|182.68336
0000000006|00000036|05-12|228.68333
0000000006|00000087|12-24|355.40002
0000000006|00000036|12-24|361.75003
0000000007|00000040|00-05|7.9333334
0000000007|00000043|00-05|8.35
0000000007|00000147|00-05|6.5666666
0000000007|00000128|00-05|0.8333333
0000000007|00000021|00-05|94.816666
0000000007|00000106|00-05|106.0
0000000007|00000003|00-05|14.183333
0000000007|00000011|00-05|29.95
0000000007|00000026|00-05|11.066667
0000000007|00000140|00-05|11.216666
0000000007|00000141|00-05|5.5166664
0000000007|00000040|05-12|2.5166667
0000000007|00000197|05-12|8.2
0000000007|00000043|05-12|5.1833334
0000000007|00000147|05-12|31.0
0000000007|00000106|05-12|152.35002
0000000007|00000021|05-12|133.78333
0000000007|00000003|05-12|25.883333
0000000007|00000166|05-12|4.366667
0000000007|00000025|05-12|7.0833335
0000000007|00000140|05-12|24.933334
0000000007|00000141|05-12|13.283333
0000000007|00000040|12-24|14.816668
0000000007|00000197|12-24|38.316666
0000000007|00000147|12-24|2.3333333
0000000007|00000128|12-24|22.866667
0000000007|00000021|12-24|310.98334
0000000007|00000106|12-24|219.31667
0000000007|00000011|12-24|3.1666667
0000000007|00000099|12-24|55.916664
0000000007|00000166|12-24|29.633335
0000000007|00000025|12-24|12.833334
0000000007|00000140|12-24|4.3333335
0000000007|00000141|12-24|0.5833333
0000000008|00000124|00-05|41.649998
0000000008|00000019|00-05|4.5
0000000008|00000066|00-05|11.283333
0000000008|00000157|00-05|17.416668
0000000008|00000067|00-05|32.38333
